event,step,loss,perplexity,lr,sequences,supervised_tokens,supervised_tokens_per_sec_window,steps_per_sec_window,path,checkpoint
train,1,2.2286899238824844,,8.333333333333333e-07,64,17793,3564.8212415991443,0.20034964545603015,,
train,10,2.1421620547771454,,4.583333333333333e-06,640,18453,3920.3313647686145,0.2258573421943536,,
train,20,2.2758974730968475,,4.939350958804604e-06,1280,17733,4110.585118337103,0.22498235526482857,,
train,30,2.157458335161209,,4.698557158514988e-06,1920,17704,4014.3535480462124,0.22479804386066504,,
train,40,2.2210161238908768,,4.2940436852046515e-06,2560,17542,3957.6209201777797,0.22484182982296014,,
eval,40,2.1639885306358337,8.705791820313925,,,54196.0,,,,
train,50,2.231990948319435,,3.7597981554510406e-06,3200,17293,3557.7990004968988,0.2073962086260769,,
train,60,2.20395028591156,,3.140708399750594e-06,3840,16729,3824.5303347442223,0.2248493668019391,,
checkpoint,60,,,,,,,,runs/l20-edu-135m-sft-6k-quality-lr5e6/step-000060,
train,70,2.18305966258049,,2.4887909432182318e-06,4480,16390,3626.2981528059668,0.21913153172831173,,
train,80,2.2258056104183197,,1.8588205264118975e-06,5120,15818,3645.075543059682,0.22483395588902758,,
eval,80,2.148058886329333,8.568210374262197,,,54196.0,,,,
train,90,2.1468769013881683,,1.3037278782052865e-06,5760,15623,3244.298101589971,0.20736434361473474,,
train,100,2.151904881000519,,8.701524243208935e-07,6400,19121,3687.2123780127026,0.22619130854672345,,
train,110,2.149927482008934,,5.9452359729015e-07,7040,18504,4137.983454380004,0.2247987751938071,,
train,120,2.1222473233938217,,5.000000000000001e-07,7680,17980,4026.727767391345,0.22486892094663233,,
eval,120,2.146678999066353,8.55639536346641,,,54196.0,,,,
checkpoint,120,,,,,,,,runs/l20-edu-135m-sft-6k-quality-lr5e6/step-000120,
done,,,,,,,,,,runs/l20-edu-135m-sft-6k-quality-lr5e6/step-000120
